"gcm","scenario","year","dist","q05","q17","q50","q83","q95","mean"
"MRI-ESM2-0","ssp585",2035,"posterior",1.47516837923235,3.01250441868306,5.55550227837561,8.70072888420547,10.7895744026751,5.78084726991904
"EC-Earth3-Veg","ssp585",2035,"prior",-3.73112574064264,-1.98141857677942,1.14866295456939,5.33024224597848,7.79870095088144,1.51982654616955
"EC-Earth3-Veg","ssp585",2035,"posterior",-2.32344944364686,-0.456167698187487,3.06069147194859,6.84910881865893,8.7735431945635,3.14668027459779
"MIROC-ES2L","ssp585",2035,"prior",6.50077920517803,8.9136948781669,14.2785184270994,24.44220539238,29.543711386765,16.0278682424473
"MIROC-ES2L","ssp585",2035,"posterior",6.66011933299008,8.58296023075346,11.6973476220513,16.629419069571,21.1259054118842,12.5027892727869
"ALL (uniform GCM prior)","ssp585",2035,"prior",-2.38163090665809,0.0343779904988875,3.82993750728096,11.4503339534483,23.3375953514407,5.95727192509237
"ALL (uniform GCM prior)","ssp585",2035,"posterior",-0.873961938543789,1.18459627972762,4.79794972453986,10.5916547161052,15.8938315136882,5.86170376053917
"CESM2-WACCM","ssp126",2040,"prior",-6.37084960522211,-3.41975261757667,-0.795393920923069,1.62613644754367,3.18682644751922,-1.01447293534758
"CESM2-WACCM","ssp126",2040,"posterior",-4.0952065537567,-2.3102051057456,0.0223525344193432,2.38069397169524,3.68693011755178,-0.0505624307909471
"MRI-ESM2-0","ssp126",2040,"prior",-1.75926735222769,0.110813310825967,3.2985328180891,7.0811014313186,9.7139450919548,3.54960977406357
"MRI-ESM2-0","ssp126",2040,"posterior",-0.99309636812652,0.997799833159694,4.13060340472,7.63867800249347,9.95494867862822,4.28177021341613
"EC-Earth3-Veg","ssp126",2040,"prior",-5.21628734029922,-2.81164143909139,1.45173975161625,6.97355551739536,10.0370762753708,1.87974965996934
"EC-Earth3-Veg","ssp126",2040,"posterior",-3.34354157320341,-0.745685609400285,3.96266253703907,8.78576276363434,11.2101386386238,3.9766647044298
"MIROC-ES2L","ssp126",2040,"prior",7.5399935247146,10.912603760929,18.8114314874321,32.5248005163687,39.3784270394359,20.9629338972674
"MIROC-ES2L","ssp126",2040,"posterior",7.7189376775363,10.3962214873029,14.9570843773984,22.1830966329356,28.460271987654,16.1192970136487
"ALL (uniform GCM prior)","ssp126",2040,"prior",-4.35475365956659,-1.66695451553463,2.93895986569353,14.0175256692775,31.2133758615185,6.34445509898817
"ALL (uniform GCM prior)","ssp126",2040,"posterior",-2.79643655632423,-0.478560365889855,4.18805513353205,12.6740173625953,21.180676781894,6.081792375176
"CESM2-WACCM","ssp534-over",2040,"prior",-6.371830175354,-3.42070073686572,-0.796357455830187,1.62520091008881,3.18585632998913,-1.01541989244344
"CESM2-WACCM","ssp534-over",2040,"posterior",-4.09615703546908,-2.31104256277125,0.0214620561001472,2.37977507214719,3.68599933407422,-0.0514994016882419
"MRI-ESM2-0","ssp534-over",2040,"prior",-1.59276905191553,0.280586376326242,3.46779678652693,7.26745672026804,9.90635117754828,3.72347668557421
"MRI-ESM2-0","ssp534-over",2040,"posterior",-0.82574891672333,1.16453376248454,4.30317134580506,7.81796498742526,10.149744147697,4.45695317354827
"EC-Earth3-Veg","ssp534-over",2040,"prior",-4.89381945431426,-2.49169163613365,1.77978304096602,7.32264565844074,10.3964634652907,2.21241331925997
"EC-Earth3-Veg","ssp534-over",2040,"posterior",-3.03297662299058,-0.425578785024579,4.29556442422664,9.15297489964429,11.5746379376713,4.31347913944794
"MIROC-ES2L","ssp534-over",2040,"prior",7.95910272041533,11.3302153155041,19.2365777036839,32.9814058460569,39.8502099309943,21.4001796146724
"MIROC-ES2L","ssp534-over",2040,"posterior",8.14365486336081,10.8110778369638,15.380926482741,22.6223064556973,28.9110071476986,16.5474307860759
"ALL (uniform GCM prior)","ssp534-over",2040,"prior",-4.18953909180445,-1.55117393336047,3.1104860369808,14.4367086512061,31.6723854946644,6.58016243176576
