"scenario","year","term","fraction"
"ssp534-over",2230,"gcm",0.388945916930578
"ssp534-over",2230,"Residuals",0.611054083069422
"ssp534-over",2235,"gcm",0.390169295045343
"ssp534-over",2235,"Residuals",0.609830704954657
"ssp534-over",2240,"gcm",0.391912852894444
"ssp534-over",2240,"Residuals",0.608087147105556
"ssp534-over",2245,"gcm",0.390286416840844
"ssp534-over",2245,"Residuals",0.609713583159156
"ssp534-over",2250,"gcm",0.390354260685129
"ssp534-over",2250,"Residuals",0.609645739314871
"ssp534-over",2255,"gcm",0.390719900517021
"ssp534-over",2255,"Residuals",0.609280099482979
"ssp534-over",2260,"gcm",0.390261233519617
"ssp534-over",2260,"Residuals",0.609738766480383
"ssp534-over",2265,"gcm",0.390222134407897
"ssp534-over",2265,"Residuals",0.609777865592103
"ssp534-over",2270,"gcm",0.390278379130756
"ssp534-over",2270,"Residuals",0.609721620869244
"ssp534-over",2275,"gcm",0.390714636628956
"ssp534-over",2275,"Residuals",0.609285363371044
"ssp534-over",2280,"gcm",0.391852413676618
"ssp534-over",2280,"Residuals",0.608147586323382
"ssp534-over",2285,"gcm",0.393593515505214
"ssp534-over",2285,"Residuals",0.606406484494786
"ssp534-over",2290,"gcm",0.394022942546162
"ssp534-over",2290,"Residuals",0.605977057453838
"ssp534-over",2295,"gcm",0.395661933548442
"ssp534-over",2295,"Residuals",0.604338066451558
"ssp534-over",2300,"gcm",0.39541821534039
"ssp534-over",2300,"Residuals",0.60458178465961
"ssp585",2020,"gcm",0.537149014444382
"ssp585",2020,"Residuals",0.462850985555618
"ssp585",2025,"gcm",0.617548981824197
"ssp585",2025,"Residuals",0.382451018175802
"ssp585",2030,"gcm",0.623286776697181
"ssp585",2030,"Residuals",0.376713223302819
"ssp585",2035,"gcm",0.619324348908914
"ssp585",2035,"Residuals",0.380675651091086
"ssp585",2040,"gcm",0.625206962700059
"ssp585",2040,"Residuals",0.374793037299941
"ssp585",2045,"gcm",0.594434172129203
"ssp585",2045,"Residuals",0.405565827870797
"ssp585",2050,"gcm",0.589631284294748
"ssp585",2050,"Residuals",0.410368715705252
"ssp585",2055,"gcm",0.56252677799067
"ssp585",2055,"Residuals",0.43747322200933
"ssp585",2060,"gcm",0.534852328811849
"ssp585",2060,"Residuals",0.465147671188151
"ssp585",2065,"gcm",0.503636607133385
"ssp585",2065,"Residuals",0.496363392866615
"ssp585",2070,"gcm",0.476934397518168
"ssp585",2070,"Residuals",0.523065602481832
"ssp585",2075,"gcm",0.464720268418799
"ssp585",2075,"Residuals",0.535279731581201
"ssp585",2080,"gcm",0.4551474074695
"ssp585",2080,"Residuals",0.5448525925305
"ssp585",2085,"gcm",0.446798302261032
"ssp585",2085,"Residuals",0.553201697738968
"ssp585",2090,"gcm",0.436380635087346
"ssp585",2090,"Residuals",0.563619364912654
"ssp585",2095,"gcm",0.427661630802605
"ssp585",2095,"Residuals",0.572338369197395
"ssp585",2100,"gcm",0.411780953966305
"ssp585",2100,"Residuals",0.588219046033695
"ssp585",2105,"gcm",0.408818546272438
"ssp585",2105,"Residuals",0.591181453727562
"ssp585",2110,"gcm",0.400054238877646
"ssp585",2110,"Residuals",0.599945761122354
"ssp585",2115,"gcm",0.390580186954329
"ssp585",2115,"Residuals",0.609419813045671
"ssp585",2120,"gcm",0.377404013281349
"ssp585",2120,"Residuals",0.622595986718651
"ssp585",2125,"gcm",0.361783855770554
"ssp585",2125,"Residuals",0.638216144229446
"ssp585",2130,"gcm",0.349685104700471
"ssp585",2130,"Residuals",0.650314895299529
"ssp585",2135,"gcm",0.33721290280837
"ssp585",2135,"Residuals",0.66278709719163
"ssp585",2140,"gcm",0.326347071724095
"ssp585",2140,"Residuals",0.673652928275905
"ssp585",2145,"gcm",0.31756639506477
"ssp585",2145,"Residuals",0.68243360493523
"ssp585",2150,"gcm",0.309803916042619
"ssp585",2150,"Residuals",0.690196083957381
"ssp585",2155,"gcm",0.305741587640407
"ssp585",2155,"Residuals",0.694258412359593
"ssp585",2160,"gcm",0.300819736496101
"ssp585",2160,"Residuals",0.699180263503899
"ssp585",2165,"gcm",0.293307711553999
"ssp585",2165,"Residuals",0.706692288446001
"ssp585",2170,"gcm",0.288512407959912
"ssp585",2170,"Residuals",0.711487592040088
"ssp585",2175,"gcm",0.284663215071709
"ssp585",2175,"Residuals",0.715336784928291
"ssp585",2180,"gcm",0.281371462103545
"ssp585",2180,"Residuals",0.718628537896455
"ssp585",2185,"gcm",0.277169995855544
"ssp585",2185,"Residuals",0.722830004144457
"ssp585",2190,"gcm",0.275892127339755
"ssp585",2190,"Residuals",0.724107872660245
"ssp585",2195,"gcm",0.272642547650565
"ssp585",2195,"Residuals",0.727357452349435
"ssp585",2200,"gcm",0.268083035811179
"ssp585",2200,"Residuals",0.731916964188821
"ssp585",2205,"gcm",0.26460076156898
"ssp585",2205,"Residuals",0.73539923843102
"ssp585",2210,"gcm",0.260607033444234
"ssp585",2210,"Residuals",0.739392966555766
"ssp585",2215,"gcm",0.258097508360023
"ssp585",2215,"Residuals",0.741902491639977
"ssp585",2220,"gcm",0.254529682874038
