"axis","value","gcm","scenario","year","ess","q05","q17","q50","q83","q95","mean"
"sigma_mod_mult","1.5","ALL (uniform GCM prior)","ssp585",2100,NA,-42.0955340886811,-23.8911744361373,39.5297256881953,108.475512394864,157.524131658031,44.2673260837646
"sigma_mod_mult","1.5","CESM2-WACCM","ssp126",2300,6461.56567473506,-69.6665418303889,-10.8364970731999,102.801777974704,309.438170160487,486.683843266244,144.24768031349
"sigma_mod_mult","1.5","MRI-ESM2-0","ssp126",2300,8991.80081890406,-196.023136793583,-153.244429533605,-78.1324296557389,41.2916631922993,160.339038486651,-56.9191290729151
"sigma_mod_mult","1.5","EC-Earth3-Veg","ssp126",2300,6328.52809456959,12.8063059792899,86.8512938561314,266.682169525206,475.636257088564,621.418789231726,283.20006186242
"sigma_mod_mult","1.5","MIROC-ES2L","ssp126",2300,6896.1421365335,7.99207934643776,48.3785501979138,105.122112244348,172.006914655498,226.449409262506,110.124351081491
"sigma_mod_mult","1.5","ALL (uniform GCM prior)","ssp126",2300,NA,-146.571058670616,-54.3274307983995,94.7333865618534,285.70085157946,490.563185617249,120.163241046122
"sigma_mod_mult","1.5","CESM2-WACCM","ssp534-over",2300,6461.56567473506,-69.8471641812698,-11.0265718647153,102.583849578419,309.19301132327,486.422887086566,144.038920119008
"sigma_mod_mult","1.5","MRI-ESM2-0","ssp534-over",2300,8991.80081890406,-175.444170313925,-132.124845462555,-55.5249160137645,69.2716436979085,191.180861083968,-32.9308520679204
"sigma_mod_mult","1.5","EC-Earth3-Veg","ssp534-over",2300,6328.52809456959,72.1153564542869,149.724529660229,335.673588445942,551.80329039009,702.729452340759,353.058537141297
"sigma_mod_mult","1.5","MIROC-ES2L","ssp534-over",2300,6896.1421365335,43.7699902877228,85.8378116307646,145.258191368723,217.015779980883,276.668224158679,151.333421537626
"sigma_mod_mult","1.5","ALL (uniform GCM prior)","ssp534-over",2300,NA,-126.620637140704,-37.054751074485,129.094435586259,330.46503005582,551.751110702656,153.875006682505
"sigma_mod_mult","1.5","CESM2-WACCM","ssp585",2300,6461.56567473506,349.127486359443,515.544914619095,854.342931049304,1333.93812378988,1791.28497968033,930.598931686192
"sigma_mod_mult","1.5","MRI-ESM2-0","ssp585",2300,8991.80081890406,-42.7301931694416,139.526083199152,560.536979359617,1110.56745703673,1537.37053354978,623.923303364371
"sigma_mod_mult","1.5","EC-Earth3-Veg","ssp585",2300,6328.52809456959,404.292908104945,628.927150337138,1082.11651363883,1711.71281655807,2228.32371510603,1170.26259254229
"sigma_mod_mult","1.5","MIROC-ES2L","ssp585",2300,6896.1421365335,592.350219725882,783.353399713265,1120.96484641127,1562.15183731864,1919.79532457154,1170.6723369521
"sigma_mod_mult","1.5","ALL (uniform GCM prior)","ssp585",2300,NA,168.032629634821,483.403623666157,929.681972689839,1465.83057396671,1918.37444608539,973.864291136246
"sigma_mod_mult","2","CESM2-WACCM","ssp126",2100,7770.42203593942,-30.8553985680602,-20.2945585420326,0.656640872684875,46.1263744456482,79.7344423289698,10.5849924717947
"sigma_mod_mult","2","MRI-ESM2-0","ssp126",2100,9447.55787321845,-33.8909538051135,-26.1947634793945,-14.3136737754234,0.291035431716115,14.3715546312713,-12.809619723678
"sigma_mod_mult","2","EC-Earth3-Veg","ssp126",2100,7755.31932425965,-6.74990408012116,8.51191169772626,47.0107797417185,88.8090567310584,116.629403847589,49.216366169612
"sigma_mod_mult","2","MIROC-ES2L","ssp126",2100,7556.26283294035,18.1665833198176,31.1572651496883,49.7602479375671,81.2412713102801,109.46949035629,55.671726793028
"sigma_mod_mult","2","ALL (uniform GCM prior)","ssp126",2100,NA,-28.1414671058835,-16.7069024333415,20.828626639686,68.0209576899248,100.958816629695,25.6658664276894
"sigma_mod_mult","2","CESM2-WACCM","ssp534-over",2100,7770.42203593942,-30.8642490861853,-20.3039384759071,0.645447849206259,46.1132264803417,79.7198669287092,10.5733898984541
"sigma_mod_mult","2","MRI-ESM2-0","ssp534-over",2100,9447.55787321845,-32.148275259859,-24.3405899580289,-12.3647431188272,2.55425065960233,16.8620902625974,-10.7923307284021
"sigma_mod_mult","2","EC-Earth3-Veg","ssp534-over",2100,7755.31932425965,-2.83473370907172,12.661151556769,51.9676373763124,94.4400861461218,122.608289397406,54.1511982591881
"sigma_mod_mult","2","MIROC-ES2L","ssp534-over",2100,7556.26283294035,23.0991513481488,36.2927660624593,55.3383267581426,87.4683536698569,116.081497584887,61.3271861184004
"sigma_mod_mult","2","ALL (uniform GCM prior)","ssp534-over",2100,NA,-27.084253462683,-15.3806011430271,23.8437490162477,72.8281778313716,106.396452009759,28.8148608869104
"sigma_mod_mult","2","CESM2-WACCM","ssp585",2100,7770.42203593942,-49.0001736925612,-36.5284195008037,-3.75266839052403,60.1853938339434,108.730623567831,9.5915652589478
"sigma_mod_mult","2","MRI-ESM2-0","ssp585",2100,9447.55787321845,-49.1938225292952,-36.7208782628594,-9.73739746533063,30.0515817561232,60.8384956870328,-4.04027622023914
"sigma_mod_mult","2","EC-Earth3-Veg","ssp585",2100,7755.31932425965,-11.1810614255959,10.5393869794038,71.0801175108988,137.563800287903,184.995748864322,75.7458808933955
"sigma_mod_mult","2","MIROC-ES2L","ssp585",2100,7556.26283294035,40.6451013088952,57.6945323006186,89.7196823221151,142.942265505227,188.778339996667,99.6509039919353
"sigma_mod_mult","2","ALL (uniform GCM prior)","ssp585",2100,NA,-42.6473784648548,-24.1754033991669,39.5173135426214,110.758727238088,163.965426580338,45.23701848101
"sigma_mod_mult","2","CESM2-WACCM","ssp126",2300,7770.42203593942,-65.0452454885578,-4.17316966399271,123.787113320463,350.958389463416,538.820325617069,167.545271666615
"sigma_mod_mult","2","MRI-ESM2-0","ssp126",2300,9447.55787321845,-199.092730648629,-156.641606769726,-82.8425083986832,36.03364626655,154.682613004158,-61.1248684522602
"sigma_mod_mult","2","EC-Earth3-Veg","ssp126",2300,7755.31932425965,8.66798830852317,79.1683335659824,249.440340468704,471.584445352619,626.163803909119,274.118627107462
"sigma_mod_mult","2","MIROC-ES2L","ssp126",2300,7556.26283294035,7.93189547699293,49.4239237542751,109.234116666018,180.841428782312,241.953043040326,115.219623645004
"sigma_mod_mult","2","ALL (uniform GCM prior)","ssp126",2300,NA,-149.637550325642,-55.9040899776782,97.8114654312385,294.00737337336,503.398375869602,123.939663491705
"sigma_mod_mult","2","CESM2-WACCM","ssp534-over",2300,7770.42203593942,-65.2107857808773,-4.35625791538821,123.572277528436,350.736563907359,538.537696746909,167.333386880016
"sigma_mod_mult","2","MRI-ESM2-0","ssp534-over",2300,9447.55787321845,-178.051644207312,-135.330180355544,-60.3572250203251,62.9990806072308,185.689287202935,-37.2240099772191
"sigma_mod_mult","2","EC-Earth3-Veg","ssp534-over",2300,7755.31932425965,67.8493408728592,141.203745713316,319.100648687863,547.139658518025,708.607713199488,344.030764921533
"sigma_mod_mult","2","MIROC-ES2L","ssp534-over",2300,7556.26283294035,43.7273708387181,86.7867460713,149.670782572873,226.489661034343,293.388605988753,156.786576496443
"sigma_mod_mult","2","ALL (uniform GCM prior)","ssp534-over",2300,NA,-129.577477924834,-37.8405424255271,133.317967028333,336.582766519323,558.853879206936,157.731679580196
"sigma_mod_mult","2","CESM2-WACCM","ssp585",2300,7770.42203593942,369.656885358776,537.925477062891,908.42134114956,1423.07006991415,1909.39499435696,986.853111435046
"sigma_mod_mult","2","MRI-ESM2-0","ssp585",2300,9447.55787321845,-42.6098312659997,133.576816719022,546.12911256373,1098.38461832689,1528.40732908058,614.32257869843
"sigma_mod_mult","2","EC-Earth3-Veg","ssp585",2300,7755.31932425965,420.770851560483,646.712268808231,1096.35652866907,1738.24592785997,2266.00692294711,1191.9496998895
"sigma_mod_mult","2","MIROC-ES2L","ssp585",2300,7556.26283294035,597.458979740138,791.55520540583,1139.63836840503,1601.8842355203,1972.03630588637,1194.02101657727
"sigma_mod_mult","2","ALL (uniform GCM prior)","ssp585",2300,NA,165.359079139971,492.318854106479,950.623454639574,1502.89248983468,1976.77183254281,996.786601650078
"sigma_mod_mult","4","CESM2-WACCM","ssp126",2100,9626.72349461047,-30.8947590447961,-19.4874810132452,8.42874411948641,59.673411797295,93.4375062349298,17.7579200682744
"sigma_mod_mult","4","MRI-ESM2-0","ssp126",2100,9930.41987886913,-35.5527164848557,-27.7693410087437,-15.8526708568108,-1.2335731018364,13.0975811430162,-14.3202347284772
"sigma_mod_mult","4","EC-Earth3-Veg","ssp126",2100,9676.0013783398,-11.0548877304111,3.92587409004326,38.5068534688927,84.338722335765,116.116771604091,43.5895710323025
"sigma_mod_mult","4","MIROC-ES2L","ssp126",2100,9247.15652948381,18.0376188188817,32.4323664582206,56.0534098383514,101.274252453095,137.91945670655,65.1881941154153
"sigma_mod_mult","4","ALL (uniform GCM prior)","ssp126",2100,NA,-29.4488278832862,-17.3555229061994,21.3568787703975,74.1609511207137,111.942713206632,28.0538626218789
"sigma_mod_mult","4","CESM2-WACCM","ssp534-over",2100,9626.72349461047,-30.9035478241125,-19.4969557014669,8.41684807666258,59.6589331198267,93.4208341785177,17.7458714251274
"sigma_mod_mult","4","MRI-ESM2-0","ssp534-over",2100,9930.41987886913,-33.8461245552117,-25.9942173925372,-13.9630870468867,1.00236417730462,15.6775655387793,-12.3295487367078
"sigma_mod_mult","4","EC-Earth3-Veg","ssp534-over",2100,9676.0013783398,-7.18692082041299,8.02824463541419,43.2619344098455,90.0362012990292,122.217830236905,48.4445613923189
