"scenario","year","input","S","T"
"ssp126",2270,"gamma",0.440512941848386,0.490875326517254
"ssp126",2270,"UMV",-0.00709488708620592,0.00342195174909898
"ssp126",2270,"forcing",0.413825106197407,0.454866405311885
"ssp126",2275,"aPhi",0.022021583718055,0.0384749443148452
"ssp126",2275,"n",0.0233799398907811,0.0448558762633083
"ssp126",2275,"m",0.0128659887208054,0.0313037505552497
"ssp126",2275,"uf",0.00125027468481084,0.0108826466338229
"ssp126",2275,"gamma",0.448463505741833,0.499259973046103
"ssp126",2275,"UMV",-0.00687206591795891,0.00363453816012382
"ssp126",2275,"forcing",0.403183029215668,0.444413234469783
"ssp126",2280,"aPhi",0.0225775762612478,0.0390456275834203
"ssp126",2280,"n",0.02399703363823,0.0455608445174809
"ssp126",2280,"m",0.013755840488535,0.032247030853521
"ssp126",2280,"uf",0.00174296893577986,0.0112692811818312
"ssp126",2280,"gamma",0.454678534249522,0.505870780362846
"ssp126",2280,"UMV",-0.00669488376278978,0.00381411524222441
"ssp126",2280,"forcing",0.394580532702748,0.435992463351462
"ssp126",2285,"aPhi",0.0230320283949859,0.039550621476748
"ssp126",2285,"n",0.024507496430026,0.0461788037056052
"ssp126",2285,"m",0.0145519050382896,0.0331370962998487
"ssp126",2285,"uf",0.00219224609594974,0.0116551955105014
"ssp126",2285,"gamma",0.460054170697564,0.511679105853822
"ssp126",2285,"UMV",-0.00655373535782503,0.00400252767476461
"ssp126",2285,"forcing",0.386915739188498,0.4286150683782
"ssp126",2290,"aPhi",0.0236286742438105,0.0401927888097575
"ssp126",2290,"n",0.0250439820779522,0.0467890914952385
"ssp126",2290,"m",0.0154576237445287,0.0340848648572368
"ssp126",2290,"uf",0.00272893157382345,0.012079113131014
"ssp126",2290,"gamma",0.46662392170161,0.518663373343659
"ssp126",2290,"UMV",-0.00635749649374169,0.00420613427943728
"ssp126",2290,"forcing",0.377923564550946,0.419857329367798
"ssp126",2295,"aPhi",0.0242430476803955,0.0409024986521895
"ssp126",2295,"n",0.0255971955582136,0.0474648952163834
"ssp126",2295,"m",0.0164990026151437,0.0352345599927025
"ssp126",2295,"uf",0.00334875622369334,0.0126136385711512
"ssp126",2295,"gamma",0.473913261190951,0.526513278412156
"ssp126",2295,"UMV",-0.00615676599350049,0.00447104635922635
"ssp126",2295,"forcing",0.367691134196995,0.410024309374333
"ssp126",2300,"aPhi",0.0247227265195375,0.0414769129386311
"ssp126",2300,"n",0.0261061715572478,0.0480906802690817
"ssp126",2300,"m",0.0173043192958282,0.0361314007332298
"ssp126",2300,"uf",0.00382483768989897,0.0130167240626902
"ssp126",2300,"gamma",0.479064956728624,0.532119174961042
"ssp126",2300,"UMV",-0.00599835637699961,0.0046799576484321
"ssp126",2300,"forcing",0.360179114028342,0.402854314491564
"ssp534-over",2020,"aPhi",0.0563355808724858,0.0806414178902879
"ssp534-over",2020,"n",0.0198199508842086,0.0270122340733264
"ssp534-over",2020,"m",0.0417843669201526,0.0480356461101684
"ssp534-over",2020,"uf",0.0101722802876962,0.00703463208606803
"ssp534-over",2020,"gamma",0.0359604742625668,0.158099478700354
"ssp534-over",2020,"UMV",0.00955219538790773,0.00480614675853674
"ssp534-over",2020,"forcing",0.711593304368926,0.846299759262135
"ssp534-over",2025,"aPhi",0.0428327262592732,0.0584628880750298
"ssp534-over",2025,"n",0.0156255481468527,0.016582221583583
